Исходный текст,Распознанный текст,Предсказанная группа,Индекс группы,Уверенность (%),Результат,Русских букв,Латинских букв,Цифр
Холестерол_3,Холес терол,общий холестерин,3,95.24,🟠 Частичное совпадение,10,0,0
Холестерол_5,Хoлестерол,общий холестерин,3,100.00,✔️ Полное совпадение,9,1,0
Холестерол_6,Х олестерол,общий холестерин,3,95.24,🟠 Частичное совпадение,10,0,0
Холестерол_7,Холе стерол,общий холестерин,3,95.24,🟠 Частичное совпадение,10,0,0
Total Cholesterol_0,Total Cholester0l,общий холестерин,3,100.00,✔️ Полное совпадение,0,15,1
Total Cholesterol_1,Total Ch Olesterol,общий холестерин,3,97.14,🟠 Частичное совпадение,0,16,0
Total Cholesterol_2,tal CHolesterol,общий холестерин,3,93.75,🟠 Частичное совпадение,0,14,0
Total Cholesterol_3,Total Cholestrol,общий холестерин,3,96.97,🟠 Частичное совпадение,0,15,0
Total Cholesterol_5,tal Cholester0l,общий холестерин,3,93.75,🟠 Частичное совпадение,0,13,1
Total Cholesterol_6,ToTal Cholesterol,общий холестерин,3,100.00,✔️ Полное совпадение,0,16,0
Total Cholesterol_7,Total Cholestero,общий холестерин,3,96.97,🟠 Частичное совпадение,0,15,0
Холестерин ЛПНП_0,лестерин ЛПП,лпнп,4,88.89,🟠 Частичное совпадение,11,0,0
Холестерин ЛПНП_1,олестерин ЛПНП,лпнп,4,96.55,🟠 Частичное совпадение,13,0,0
Холестерин ЛПНП_2,ХОлестерин ЛПНП,лпнп,4,100.00,✔️ Полное совпадение,14,0,0
Холестерин ЛПНП_4,Холестер и ЛПНП,лпнп,4,93.33,🟠 Частичное совпадение,13,0,0
Холестерин ЛПНП_5,ХолЕстерин ЛПНП,лпнп,4,100.00,✔️ Полное совпадение,14,0,0
Холестерин ЛПНП_6,Холестерин ЛНП,лпнп,4,96.55,🟠 Частичное совпадение,13,0,0
Холестерин ЛПНП_7,Холестерин ЛПН,лпнп,4,96.55,🟠 Частичное совпадение,13,0,0
Холестерин-ЛПНП_0,Х олестерин-ЛПНП,лпнп,4,96.55,🟠 Частичное совпадение,14,0,0
Холестерин-ЛПНП_1,лестерин-ЛПН,лпнп,4,88.00,🟠 Частичное совпадение,11,0,0
Холестерин-ЛПНП_2,ХолестеРин-ЛПНП,лпнп,4,100.00,✔️ Полное совпадение,14,0,0
Холестерин-ЛПНП_3,ХоЛЕстерин-ЛПНП,лпнп,4,100.00,✔️ Полное совпадение,14,0,0
Холестерин-ЛПНП_4,олестерин-ЛП НП,лпнп,4,92.86,🟠 Частичное совпадение,13,0,0
Холестерин-ЛПНП_6,олестрин-ЛПНП,лпнп,4,92.31,🟠 Частичное совпадение,12,0,0
Холестерин-ЛПНП_7,Холестеpин-ЛНП,лпнп,4,96.30,🟠 Частичное совпадение,12,1,0
Х-ЛПНП_0,Х-ЛпНП,лпнп,4,100.00,✔️ Полное совпадение,5,0,0
Х ЛПНП_1,Х ЛПнП,лпнп,4,100.00,✔️ Полное совпадение,5,0,0
ХС ЛПНП_0,ХС  ЛПНП,лпнп,4,100.00,✔️ Полное совпадение,6,0,0
ХС ЛПНП_1,ХС ЛпНП,лпнп,4,100.00,✔️ Полное совпадение,6,0,0
ХС ЛПНП_2,ХС ЛП,лпнп,4,83.33,🟠 Частичное совпадение,4,0,0
ХС ЛПНП_3,Х С ЛпНП,лпнп,4,93.33,🟠 Частичное совпадение,6,0,0
ХС ЛПНП_4,С ЛПНП,лпнп,4,92.31,🟠 Частичное совпадение,5,0,0
ХС ЛПНП_6,хС лПНП,лпнп,4,100.00,✔️ Полное совпадение,6,0,0
ХС ЛПНП_7,ХС ЛПН,лпнп,4,92.31,🟠 Частичное совпадение,5,0,0
Липопротеины низкой плотности_0,Липопротеи ны низкой плотности,лпнп,4,98.31,🟠 Частичное совпадение,27,0,0
Липопротеины низкой плотности_1,Липопротеины низкой плотност,лпнп,4,98.25,🟠 Частичное совпадение,26,0,0
Липопротеины низкой плотности_2,Липопротеины н изкой плотности,лпнп,4,98.31,🟠 Частичное совпадение,27,0,0
Липопротеины низкой плотности_3,Липопротеины  низкой плотности,лпнп,4,100.00,✔️ Полное совпадение,27,0,0
Липопротеины низкой плотности_4,Липопротеины низкой пл отности,лпнп,4,98.31,🟠 Частичное совпадение,27,0,0
Липопротеины низкой плотности_6,Липопротеины низкой плотно сти,лпнп,4,98.31,🟠 Частичное совпадение,27,0,0
Липопротеины низкой плотности_7,Липопротeины низкой плотНости,лпнп,4,100.00,✔️ Полное совпадение,26,1,0
Плохой холестерол_0,Пл охой холестерол,лпнп,4,97.14,🟠 Частичное совпадение,16,0,0
Плохой холестерол_1,Плохой холестер оЛ,лпнп,4,97.14,🟠 Частичное совпадение,16,0,0
Плохой холестерол_2,Плохой холеСтерол,лпнп,4,100.00,✔️ Полное совпадение,16,0,0
Плохой холестерол_4,ПлОхой холстерол,лпнп,4,96.97,🟠 Частичное совпадение,15,0,0
Плохой холестерол_5,Плохой олестерол,лпнп,4,96.97,🟠 Частичное совпадение,15,0,0
Плохой холестерол_6,Плохой холеcтерол,лпнп,4,100.00,✔️ Полное совпадение,15,1,0
Плохой холестерол_7,ПЛохой холестерол,лпнп,4,100.00,✔️ Полное совпадение,16,0,0
Low-Density Lipoprotein_0,Low-De nsity Lipoprotein,лпнп,4,97.78,🟠 Частичное совпадение,0,21,0
Low-Density Lipoprotein_1,Low-Density LipoprotEin,лпнп,4,100.00,✔️ Полное совпадение,0,21,0
Low-Density Lipoprotein_2,Low-ensity Lipoprotein,лпнп,4,97.67,🟠 Частичное совпадение,0,20,0
Low-Density Lipoprotein_3,Low-Density Lipoprote,лпнп,4,95.24,🟠 Частичное совпадение,0,19,0
Low-Density Lipoprotein_4,LowDe nsity Lipoprotein,лпнп,4,97.78,🟠 Частичное совпадение,0,21,0
Low-Density Lipoprotein_5,Low-Density Lipopotein,лпнп,4,97.67,🟠 Частичное совпадение,0,20,0
Low-Density Lipoprotein_6,LoW-Density Lipoprotein,лпнп,4,100.00,✔️ Полное совпадение,0,21,0
Low-Density Lipoprotein_7,Low-Dеnsity Lipoprotein,лпнп,4,100.00,✔️ Полное совпадение,1,20,0
Холестерин ЛПВП_0,ХОлестериН ЛПВП,лпвп,5,100.00,✔️ Полное совпадение,14,0,0
Холестерин ЛПВП_1,Х олестерин ЛПВП,лпвп,5,96.77,🟠 Частичное совпадение,14,0,0
Холестерин ЛПВП_2,ХолесТерин ЛПВП,лпвп,5,100.00,✔️ Полное совпадение,14,0,0
Холестерин ЛПВП_3,ХолестеРин ЛПВП,лпвп,5,100.00,✔️ Полное совпадение,14,0,0
Холестерин ЛПВП_4,Холестрин ЛПВП,лпвп,5,96.55,🟠 Частичное совпадение,13,0,0
Холестерин ЛПВП_5,Холе стерин ЛПВП,лпвп,5,96.77,🟠 Частичное совпадение,14,0,0
Холестерин ЛПВП_7,Холeстерин ЛПВ,лпвп,5,96.55,🟠 Частичное совпадение,12,1,0
Холестерин-ЛПВП_0,лестерин-ЛПВП,лпвп,5,92.31,🟠 Частичное совпадение,12,0,0
Холестерин-ЛПВП_1,Х олестерин-ЛпВП,лпвп,5,96.55,🟠 Частичное совпадение,14,0,0
Холестерин-ЛПВП_2,олестерин-ЛПВП,лпвп,5,96.30,🟠 Частичное совпадение,13,0,0
Холестерин-ЛПВП_3,Холестерин-ЛПВ,лпвп,5,96.30,🟠 Частичное совпадение,13,0,0
Холестерин-ЛПВП_4,ХолЕстерин-ЛПВП,лпвп,5,100.00,✔️ Полное совпадение,14,0,0
Холестерин-ЛПВП_5,Холестерин-ЛВП,лпвп,5,96.30,🟠 Частичное совпадение,13,0,0
Холестерин-ЛПВП_6,ХолeстеринЛПВП,лпвп,5,100.00,✔️ Полное совпадение,13,1,0
Х-ЛПВП_1,Х-лПВП,лпвп,5,100.00,✔️ Полное совпадение,5,0,0
Х-ЛПВП_2,х-ЛПВП,лпвп,5,100.00,✔️ Полное совпадение,5,0,0
Х ЛПВП_0,Х ЛпВП,лпвп,5,100.00,✔️ Полное совпадение,5,0,0
Х ЛПВП_1,Х ЛПвП,лпвп,5,100.00,✔️ Полное совпадение,5,0,0
ХС ЛПВП_0,ХС  ЛПВ,лпвп,5,92.31,🟠 Частичное совпадение,5,0,0
ХС ЛПВП_1,Хс ЛПВП,лпвп,5,100.00,✔️ Полное совпадение,6,0,0
ХС ЛПВП_2,ХС ЛПвП,лпвп,5,100.00,✔️ Полное совпадение,6,0,0
ХС ЛПВП_3,Х ЛПВП,лпвп,5,100.00,✔️ Полное совпадение,5,0,0
ХС ЛПВП_4,ХС ПВП,лпвп,5,92.31,🟠 Частичное совпадение,5,0,0
ХС ЛПВП_5,ХС ЛпВП,лпвп,5,100.00,✔️ Полное совпадение,6,0,0
ХС ЛПВП_6,Х С ЛПВП,лпвп,5,93.33,🟠 Частичное совпадение,6,0,0
Липопротеины высокой плотности_0,иппротеины высокой плотности,лпвп,5,96.55,🟠 Частичное совпадение,26,0,0
Липопротеины высокой плотности_2,Липoпротеины высокой плотности,лпвп,5,100.00,✔️ Полное совпадение,27,1,0
Липопротеины высокой плотности_3,Липопротеины выокой плотности,лпвп,5,98.31,🟠 Частичное совпадение,27,0,0
Липопротеины высокой плотности_4,Липопрoтеины высокой плотности,лпвп,5,100.00,✔️ Полное совпадение,27,1,0
Липопротеины высокой плотности_5,Липопротеины высоКой плотности,лпвп,5,100.00,✔️ Полное совпадение,28,0,0
Липопротеины высокой плотности_6,Липопротеины высоКой плoтности,лпвп,5,100.00,✔️ Полное совпадение,27,1,0
Липопротеины высокой плотности_7,Липопротеиы выСокой плотности,лпвп,5,98.31,🟠 Частичное совпадение,27,0,0
High-Density Lipoprotein_1,Hih-Density Lipoprotein,лпвп,5,97.78,🟠 Частичное совпадение,0,21,0
High-Density Lipoprotein_2,HigH-Density Lipoprotein,лпвп,5,100.00,✔️ Полное совпадение,0,22,0
High-Density Lipoprotein_3,igh-DensityLipoprotein,лпвп,5,95.45,🟠 Частичное совпадение,0,21,0
High-Density Lipoprotein_4,High- Density Lipoprotein,лпвп,5,97.87,🟠 Частичное совпадение,0,22,0
High-Density Lipoprotein_5,High-Density LipoprotEin,лпвп,5,100.00,✔️ Полное совпадение,0,22,0
High-Density Lipoprotein_6,igh-Density Lipoprotein,лпвп,5,97.78,🟠 Частичное совпадение,0,21,0
High-Density Lipoprotein_7,High-Density Lipoprote,лпвп,5,95.45,🟠 Частичное совпадение,0,20,0
Хороший холестерол_0,Хороший хол естерол,лпвп,5,97.30,🟠 Частичное совпадение,17,0,0
Хороший холестерол_1,Хороший холестеро,лпвп,5,97.14,🟠 Частичное совпадение,16,0,0
Хороший холестерол_3,pоший холестерол,лпвп,5,94.12,🟠 Частичное совпадение,14,1,0
Хороший холестерол_4,Хороший холестрол,лпвп,5,97.14,🟠 Частичное совпадение,16,0,0
Хороший холестерол_5,Хороший холеСтерол,лпвп,5,100.00,✔️ Полное совпадение,17,0,0
Хороший холестерол_6,роший холестерол,лпвп,5,94.12,🟠 Частичное совпадение,15,0,0
Хороший холестерол_7,Хороший холестЕрол,лпвп,5,100.00,✔️ Полное совпадение,17,0,0
Холестерин ЛПОНП_0,Холестерин ЛП ОНП,лпонп,6,96.97,🟠 Частичное совпадение,15,0,0
Холестерин ЛПОНП_1,Холестерин ЛПОнП,лпонп,6,100.00,✔️ Полное совпадение,15,0,0
Холестерин ЛПОНП_2,Холестерин ЛПОНп,лпонп,6,100.00,✔️ Полное совпадение,15,0,0
Холестерин ЛПОНП_3,олестерин ЛПОНП,лпонп,6,96.77,🟠 Частичное совпадение,14,0,0
Холестерин ЛПОНП_5,Холеcтерин ЛПОНП,лпонп,6,100.00,✔️ Полное совпадение,14,1,0
Холестерин ЛПОНП_6,Холесте рин ЛПОНП,лпонп,6,96.97,🟠 Частичное совпадение,15,0,0
Холестерин ЛПОНП_7,Холестерин ЛП,лпнп,4,92.86,❌ Неверное совпадение,12,0,0
Холестерин-ЛПОНП_1,ХолестеринЛП ОНП,лпонп,6,96.77,🟠 Частичное совпадение,15,0,0
Холестерин-ЛПОНП_2,ХолЕстерин-ЛПОН,лпонп,6,96.55,🟠 Частичное совпадение,14,0,0
Холестерин-ЛПОНП_3,ХолестеринЛ ПОНП,лпонп,6,96.77,🟠 Частичное совпадение,15,0,0
Холестерин-ЛПОНП_4,Холестери-ЛПНП,лпнп,4,96.30,❌ Неверное совпадение,13,0,0
Холестерин-ЛПОНП_5,Холестерин-ПОНП,лпонп,6,96.55,🟠 Частичное совпадение,14,0,0
Холестерин-ЛПОНП_6,Холестрин-ЛПОНП,лпонп,6,96.55,🟠 Частичное совпадение,14,0,0
Холестерин-ЛПОНП_7,олестерин-ЛПОН,лпонп,6,92.86,🟠 Частичное совпадение,13,0,0
Х-ЛПОНП_0,Х-ЛП ОНП,лпонп,6,92.31,🟠 Частичное совпадение,6,0,0
Х-ЛПОНП_1,Х-Л ПОНП,лпонп,6,92.31,🟠 Частичное совпадение,6,0,0
Х-ЛПОНП_2,Х-ЛПОН,лпонп,6,90.91,🟠 Частичное совпадение,5,0,0
Х-ЛПОНП_3,Х-ЛПОНп,лпонп,6,100.00,✔️ Полное совпадение,6,0,0
Х-ЛПОНП_5,Х-ЛПО,лпонп,6,80.00,🟠 Частичное совпадение,4,0,0
Х-ЛПОНП_6,Х-ЛПОнП,лпонп,6,100.00,✔️ Полное совпадение,6,0,0
Х-ЛПОНП_7,Х-ЛПоНП,лпонп,6,100.00,✔️ Полное совпадение,6,0,0
Х ЛПОНП_1,х ЛПО,лпонп,6,83.33,🟠 Частичное совпадение,4,0,0
Х ЛПОНП_2,Х  ЛПОНП,лпонп,6,100.00,✔️ Полное совпадение,6,0,0
Х ЛПОНП_3,Х ПОНП,лпонп,6,92.31,🟠 Частичное совпадение,5,0,0
Х ЛПОНП_4,Х ЛПОНп,лпонп,6,100.00,✔️ Полное совпадение,6,0,0
Х ЛПОНП_5,Х ЛПОП,лпонп,6,92.31,🟠 Частичное совпадение,5,0,0
ХС ЛПОНП_0, ЛПОНП,лпонп,6,90.91,🟠 Частичное совпадение,5,0,0
ХС ЛПОНП_1,Х ЛП ОНП,лпонп,6,93.33,🟠 Частичное совпадение,6,0,0
ХС ЛПОНП_3,Х С ЛПНП,лпнп,4,93.33,❌ Неверное совпадение,6,0,0
ХС ЛПОНП_4,Хс ЛПОНП,лпонп,6,100.00,✔️ Полное совпадение,7,0,0
ХС ЛПОНП_5,ХС лПОНП,лпонп,6,100.00,✔️ Полное совпадение,7,0,0
ХС ЛПОНП_6,ХС ПОНП,лпонп,6,93.33,🟠 Частичное совпадение,6,0,0
ХС ЛПОНП_7,ХС ЛП ОНП,лпонп,6,94.12,🟠 Частичное совпадение,7,0,0
Липопротеины очень низкой плотности_0,ипопротеины очень низкой плотности,лпонп,6,98.55,🟠 Частичное совпадение,31,0,0
Липопротеины очень низкой плотности_1,ЛИпоротеины очень низкой плотности,лпонп,6,98.55,🟠 Частичное совпадение,31,0,0
Липопротеины очень низкой плотности_2,Липопротеины очень низкойплотности,лпонп,6,98.55,🟠 Частичное совпадение,32,0,0
Липопротеины очень низкой плотности_3,попротеины очень низкой плотности,лпонп,6,97.06,🟠 Частичное совпадение,30,0,0
Липопротеины очень низкой плотности_4,Липопр отеины очень низкой плотности,лпонп,6,98.59,🟠 Частичное совпадение,32,0,0
Липопротеины очень низкой плотности_5,Липопротеины оченЬ низкой плотности,лпонп,6,100.00,✔️ Полное совпадение,32,0,0
Липопротеины очень низкой плотности_7,Липопротеины очень низкой плоТности,лпонп,6,100.00,✔️ Полное совпадение,32,0,0
Very Low-Density Lipoprotein_0,Very Low-Density LipoProtein,лпонп,6,100.00,✔️ Полное совпадение,0,25,0
Very Low-Density Lipoprotein_2,Very Low-Densty Lipoprotein,лпонп,6,98.11,🟠 Частичное совпадение,0,24,0
Very Low-Density Lipoprotein_3,V ery LowDensity Lipoprotein,лпонп,6,98.18,🟠 Частичное совпадение,0,25,0
Very Low-Density Lipoprotein_4,Vey LowDensity Lipoprotein,лпонп,6,98.11,🟠 Частичное совпадение,0,24,0
Very Low-Density Lipoprotein_5,Very Low-Density LipopRotein,лпонп,6,100.00,✔️ Полное совпадение,0,25,0
Very Low-Density Lipoprotein_6,Very Low-Density LiPoprotei,лпонп,6,98.11,🟠 Частичное совпадение,0,24,0
Very Low-Density Lipoprotein_7,Very Low-Density Lipop rotein,лпонп,6,98.18,🟠 Частичное совпадение,0,25,0
Триглицериды_0,Триглицери ды,триглицериды,7,96.00,🟠 Частичное совпадение,12,0,0
Триглицериды_1,ТриГлицер иды,триглицериды,7,96.00,🟠 Частичное совпадение,12,0,0
Триглицериды_2,Триглице ри,триглицериды,7,86.96,🟠 Частичное совпадение,10,0,0
Триглицериды_3,Триглицер иды,триглицериды,7,96.00,🟠 Частичное совпадение,12,0,0
Triglycerides_1,Triglycеrides,триглицериды,7,100.00,✔️ Полное совпадение,1,12,0
Triglycerides_2,Triglyсerides,триглицериды,7,100.00,✔️ Полное совпадение,1,12,0
Фосфолипиды_1,Фосф олипиды,фосфолипиды,8,95.65,🟠 Частичное совпадение,11,0,0
Фосфолипиды_2,Фоcфолипиды,фосфолипиды,8,100.00,✔️ Полное совпадение,10,1,0
Фосфолипиды_3,Фоcфо липиды,фосфолипиды,8,95.65,🟠 Частичное совпадение,10,1,0
Фосфолипиды_4,Фосфолипи ды,фосфолипиды,8,95.65,🟠 Частичное совпадение,11,0,0
Фосфолипиды_5,Фосфo липиды,фосфолипиды,8,95.65,🟠 Частичное совпадение,10,1,0
Phospholipids_0,ph0spholipids,фосфолипиды,8,100.00,✔️ Полное совпадение,0,12,1
Phospholipids_1,Phospholipi ds,фосфолипиды,8,96.30,🟠 Частичное совпадение,0,13,0
