,Исходный текст,Распознанный текст,Предсказанная группа,Уверенность (%),Результат,Русских букв,Латинских букв,Цифр
98,Креатинин сывороточный_2,Креатинин сывороточны,креатинин,97.67,🟠 Частичное совпадение,20,0,0
99,Креатинин сывороточный_3,реатинин сывороточный,креатинин,97.67,🟠 Частичное совпадение,20,0,0
100,Креатинин сывороточный_4,Креaтини сывороточный,креатинин,97.67,🟠 Частичное совпадение,19,1,0
101,Креатинин сывороточный_5,еатинин сывороточный,креатинин,95.24,🟠 Частичное совпадение,19,0,0
102,Креатинин сывороточный_6,Креатинин с ывороточый,креатинин,95.45,🟠 Частичное совпадение,20,0,0
103,Креатинин сывороточный_7,КреатИнин сы вороточный,креатинин,97.78,🟠 Частичное совпадение,21,0,0
104,Общий холестерин_0,Общий холеСтериН,общий холестерин,100.00,✔️ Полное совпадение,15,0,0
105,Общий холестерин_1,Общий хлестерин,общий холестерин,96.77,🟠 Частичное совпадение,14,0,0
106,Общий холестерин_2,Общий холестери,общий холестерин,96.77,🟠 Частичное совпадение,14,0,0
107,Общий холестерин_3,Общий холестЕрин,общий холестерин,100.00,✔️ Полное совпадение,15,0,0
108,Общий холестерин_4,Общий хол естериН,общий холестерин,96.97,🟠 Частичное совпадение,15,0,0
109,Общий холестерин_5,бщий холестерин,общий холестерин,96.77,🟠 Частичное совпадение,14,0,0
110,Общий холестерин_7,Общий холес терин,общий холестерин,96.97,🟠 Частичное совпадение,15,0,0
111,Cholesterol_0,Cholsterol,общий холестерин,95.24,🟠 Частичное совпадение,0,10,0
112,Cholesterol_1,Cho lestero,общий холестерин,90.91,🟠 Частичное совпадение,0,10,0
113,Cholesterol_3,cholesterol,общий холестерин,100.00,✔️ Полное совпадение,0,11,0
114,Cholesterol_4,C holesterol,общий холестерин,95.65,🟠 Частичное совпадение,0,11,0
115,Cholesterol_5,ChoLesterol,общий холестерин,100.00,✔️ Полное совпадение,0,11,0
116,Cholesterol_6,Ch0lesterol,общий холестерин,100.00,✔️ Полное совпадение,0,10,1
117,Cholesterol_7,Cholester ol,общий холестерин,95.65,🟠 Частичное совпадение,0,11,0
118,Холестерин_0,Холестери,общий холестерин,94.74,🟠 Частичное совпадение,9,0,0
119,Холестерин_1,ХолестеРин,общий холестерин,100.00,✔️ Полное совпадение,10,0,0
120,Холестерин_2,ХолесТе рин,общий холестерин,95.24,🟠 Частичное совпадение,10,0,0
121,Холестерин_3,ХоЛестерин,общий холестерин,100.00,✔️ Полное совпадение,10,0,0
122,Холестерин_4,ХолестерИн,общий холестерин,100.00,✔️ Полное совпадение,10,0,0
123,Холестерин_5,олестерин,общий холестерин,94.74,🟠 Частичное совпадение,9,0,0
124,Холестерин_6,Холеcтерин,общий холестерин,100.00,✔️ Полное совпадение,9,1,0
125,Холестерин_7,лестерин,общий холестерин,88.89,🟠 Частичное совпадение,8,0,0
126,Холестерол_0,Холестеро,общий холестерин,94.74,🟠 Частичное совпадение,9,0,0
127,Холестерол_2,Хо лесерол,общий холестерин,90.00,🟠 Частичное совпадение,9,0,0
128,Холестерол_3,Хлестерол,общий холестерин,94.74,🟠 Частичное совпадение,9,0,0
129,Холестерол_4,Холестер ол,общий холестерин,95.24,🟠 Частичное совпадение,10,0,0
130,Холестерол_5,Х олестерол,общий холестерин,95.24,🟠 Частичное совпадение,10,0,0
131,Холестерол_6,Холестрол,общий холестерин,94.74,🟠 Частичное совпадение,9,0,0
132,Холестерол_7,Холе стерол,общий холестерин,95.24,🟠 Частичное совпадение,10,0,0
133,Total Cholesterol_0,T0tal Cholesterol,общий холестерин,100.00,✔️ Полное совпадение,0,15,1
134,Total Cholesterol_2,otal Cholesterol,общий холестерин,96.97,🟠 Частичное совпадение,0,15,0
135,Total Cholesterol_3,Total CholesteRol,общий холестерин,100.00,✔️ Полное совпадение,0,16,0
136,Total Cholesterol_4,ToTal CholesteroL,общий холестерин,100.00,✔️ Полное совпадение,0,16,0
137,Total Cholesterol_5,Total cholesterol,общий холестерин,100.00,✔️ Полное совпадение,0,16,0
138,Total Cholesterol_6,Total Choesterol,общий холестерин,96.97,🟠 Частичное совпадение,0,15,0
139,Total Cholesterol_7,Total  Cholesterol,общий холестерин,97.14,🟠 Частичное совпадение,0,16,0
140,Холестерин ЛПНП_0,Холестерин ЛПнП,лпнп,100.00,✔️ Полное совпадение,14,0,0
141,Холестерин ЛПНП_1,Холестeрин ЛПНП,лпнп,100.00,✔️ Полное совпадение,13,1,0
142,Холестерин ЛПНП_2,лестерин ЛПНП,лпнп,92.86,🟠 Частичное совпадение,12,0,0
143,Холестерин ЛПНП_3,ХолеСтерин ЛПНП,лпнп,100.00,✔️ Полное совпадение,14,0,0
144,Холестерин ЛПНП_4,Холестерин ЛП,лпнп,92.86,🟠 Частичное совпадение,12,0,0
145,Холестерин ЛПНП_5,олестерин ЛПНП,лпнп,96.55,🟠 Частичное совпадение,13,0,0
146,Холестерин ЛПНП_6,Холестерин ПНП,лпнп,96.55,🟠 Частичное совпадение,13,0,0
147,Холестерин-ЛПНП_0,Хлестерин-ЛПНП,лпнп,96.55,🟠 Частичное совпадение,13,0,0
148,Холестерин-ЛПНП_1,Холестерин-Л ПН,лпнп,93.33,🟠 Частичное совпадение,13,0,0
149,Холестерин-ЛПНП_3,ХолеСтерин-ЛПНП,лпнп,100.00,✔️ Полное совпадение,14,0,0
150,Холестерин-ЛПНП_4,Холесте рин-ЛПНП,лпнп,96.77,🟠 Частичное совпадение,14,0,0
151,Холестерин-ЛПНП_5,лестерин-ЛПНП,лпнп,92.86,🟠 Частичное совпадение,12,0,0
152,Холестерин-ЛПНП_6,Холе стерин-ЛПНП,лпнп,96.77,🟠 Частичное совпадение,14,0,0
153,Холестерин-ЛПНП_7,Хoлестерин-ЛПНП,лпнп,100.00,✔️ Полное совпадение,13,1,0
154,Х-ЛПНП_0,-ЛПНП,лпнп,90.91,🟠 Частичное совпадение,4,0,0
155,Х-ЛПНП_1,Х-ЛПН,лпнп,90.91,🟠 Частичное совпадение,4,0,0
156,Х-ЛПНП_3,Х -ЛПНП,лпнп,92.31,🟠 Частичное совпадение,5,0,0
157,Х-ЛПНП_4,Х-Л ПНП,лпнп,92.31,🟠 Частичное совпадение,5,0,0
158,Х-ЛПНП_5,Х-лПНП,лпнп,100.00,✔️ Полное совпадение,5,0,0
159,Х ЛПНП_0,Х  ЛПНП,лпнп,92.31,🟠 Частичное совпадение,5,0,0
160,Х ЛПНП_1,х ЛПНП,лпнп,100.00,✔️ Полное совпадение,5,0,0
161,Х ЛПНП_2,Х Л ПНП,лпнп,92.31,🟠 Частичное совпадение,5,0,0
162,Х ЛПНП_3,Х ЛПН,лпнп,90.91,🟠 Частичное совпадение,4,0,0
163,Х ЛПНП_5,Х ЛПП,лпнп,90.91,🟠 Частичное совпадение,4,0,0
164,Х ЛПНП_6,Х ЛПНп,лпнп,100.00,✔️ Полное совпадение,5,0,0
165,ХС ЛПНП_0,ХС ЛПнП,лпнп,100.00,✔️ Полное совпадение,6,0,0
166,ХС ЛПНП_2,ХС ПНП,лпнп,92.31,🟠 Частичное совпадение,5,0,0
167,ХС ЛПНП_3,Х ЛП НП,лпнп,92.31,🟠 Частичное совпадение,5,0,0
168,ХС ЛПНП_4,С ЛПНП,лпнп,92.31,🟠 Частичное совпадение,5,0,0
169,ХС ЛПНП_5,ХС  ПНП,лпнп,85.71,🟠 Частичное совпадение,5,0,0
170,ХС ЛПНП_6,ХС ЛПН,лпнп,92.31,🟠 Частичное совпадение,5,0,0
171,ХС ЛПНП_7,Х ЛПНП С,лпнп,85.71,🟠 Частичное совпадение,6,0,0
172,Липопротеины низкой плотности_1,Лип опротеины низкой плотности,лпнп,98.31,🟠 Частичное совпадение,27,0,0
173,Липопротеины низкой плотности_2,Липопротеины низкой плотноСти,лпнп,100.00,✔️ Полное совпадение,27,0,0
174,Липопротеины низкой плотности_3,Липопротеины ниЗкой плотности,лпнп,100.00,✔️ Полное совпадение,27,0,0
175,Липопротеины низкой плотности_4,Липопротены низкой плотности,лпнп,98.25,🟠 Частичное совпадение,26,0,0
176,Липопротеины низкой плотности_5,ЛипопротЕины ни зкой плотности,лпнп,98.31,🟠 Частичное совпадение,27,0,0
177,Липопротеины низкой плотности_6,Липопротеины низкой плотнос ти,лпнп,98.31,🟠 Частичное совпадение,27,0,0
178,Липопротеины низкой плотности_7,Липопротеины Низкой плотности,лпнп,100.00,✔️ Полное совпадение,27,0,0
179,Плохой холестерол_0,Плохой холестер ол,лпнп,97.14,🟠 Частичное совпадение,16,0,0
180,Плохой холестерол_1,Плхой холестерол,лпнп,96.97,🟠 Частичное совпадение,15,0,0
181,Плохой холестерол_2,ПлохоЙ хоестерол,лпнп,96.97,🟠 Частичное совпадение,15,0,0
182,Плохой холестерол_3,ПлоХoй холестерол,лпнп,100.00,✔️ Полное совпадение,15,1,0
183,Плохой холестерол_4,Плохой холестер,лпнп,93.75,🟠 Частичное совпадение,14,0,0
184,Плохой холестерол_5,охой холестерол,лпнп,93.75,🟠 Частичное совпадение,14,0,0
185,Плохой холестерол_7,Плохой холест ерол,лпнп,97.14,🟠 Частичное совпадение,16,0,0
186,LDL_0,lDL,лпнп,100.00,✔️ Полное совпадение,0,3,0
187,Low-Density Lipoprotein_0,LowDensity Lipoprotein,лпнп,97.78,🟠 Частичное совпадение,0,21,0
188,Low-Density Lipoprotein_1,Density Lipoprotein,лпнп,90.48,🟠 Частичное совпадение,0,18,0
189,Low-Density Lipoprotein_2,w-Density Lipoprotein,лпнп,95.45,🟠 Частичное совпадение,0,19,0
190,Low-Density Lipoprotein_3,ow-Density Lipoprotein,лпнп,97.78,🟠 Частичное совпадение,0,20,0
191,Low-Density Lipoprotein_4,Low-Desity Lipoprotein,лпнп,97.78,🟠 Частичное совпадение,0,20,0
192,Low-Density Lipoprotein_5,Low-Denity Lipoprotein,лпнп,97.78,🟠 Частичное совпадение,0,20,0
193,Low-Density Lipoprotein_7,Low-Density Lipopro tein,лпнп,97.87,🟠 Частичное совпадение,0,21,0
194,Холестерин ЛПВП_1,ХолестерИн ЛПВП,лпвп,100.00,✔️ Полное совпадение,14,0,0
195,Холестерин ЛПВП_2,ХОлестерин ЛПВП,лпвп,100.00,✔️ Полное совпадение,14,0,0
196,Холестерин ЛПВП_3,xолестерин ЛПВП,лпвп,100.00,✔️ Полное совпадение,13,1,0
197,Холестерин ЛПВП_4,ХолеСтерин ЛпВП,лпвп,100.00,✔️ Полное совпадение,14,0,0
198,Холестерин ЛПВП_5,Хоестерин ЛПВП,лпвп,96.55,🟠 Частичное совпадение,13,0,0
199,Холестерин ЛПВП_6,Холестерин  ЛПВП,лпвп,96.77,🟠 Частичное совпадение,14,0,0
200,Холестерин ЛПВП_7,Холестерин ЛП,лпнп,92.86,❌ Неверное совпадение,12,0,0
201,Холестерин-ЛПВП_0,ХолестеринЛПВП,лпвп,96.55,🟠 Частичное совпадение,14,0,0
202,Холестерин-ЛПВП_1,Холестерин-ЛПВ,лпвп,96.55,🟠 Частичное совпадение,13,0,0
203,Холестерин-ЛПВП_3,Хол естерин-ЛПВП,лпвп,96.77,🟠 Частичное совпадение,14,0,0
204,Холестерин-ЛПВП_4,Холеcтерин-ЛПВП,лпвп,100.00,✔️ Полное совпадение,13,1,0
205,Холестерин-ЛПВП_5,Холестерин-ЛПв,лпвп,96.55,🟠 Частичное совпадение,13,0,0
206,Холестерин-ЛПВП_6,стерин-ЛПВП,лпвп,84.62,🟠 Частичное совпадение,10,0,0
207,Холестерин-ЛПВП_7,Холест ерин-ЛПВП,лпвп,96.77,🟠 Частичное совпадение,14,0,0
208,Х-ЛПВП_0,Х-ЛПВ,лпвп,90.91,🟠 Частичное совпадение,4,0,0
209,Х-ЛПВП_1,Х-ЛПВп,лпвп,100.00,✔️ Полное совпадение,5,0,0
210,Х-ЛПВП_2,ХЛПВП,лпвп,90.91,🟠 Частичное совпадение,5,0,0
211,Х-ЛПВП_4,Х-ЛпВП,лпвп,100.00,✔️ Полное совпадение,5,0,0
212,Х-ЛПВП_5,-ЛПВП,лпвп,90.91,🟠 Частичное совпадение,4,0,0
213,Х ЛПВП_0,Х ЛВП,лпвп,90.91,🟠 Частичное совпадение,4,0,0
214,Х ЛПВП_1,Х лПВП,лпвп,100.00,✔️ Полное совпадение,5,0,0
215,Х ЛПВП_2, ЛПВП,лпвп,80.00,🟠 Частичное совпадение,4,0,0
216,Х ЛПВП_3,Х ЛП ВП,лпвп,92.31,🟠 Частичное совпадение,5,0,0
217,Х ЛПВП_5,Х ЛПП,лпнп,90.91,❌ Неверное совпадение,4,0,0
218,Х ЛПВП_6,Х  ЛПВП,лпвп,92.31,🟠 Частичное совпадение,5,0,0
219,Х ЛПВП_7,Х ПВП,лпвп,90.91,🟠 Частичное совпадение,4,0,0
220,ХС ЛПВП_0,ХС ЛВП,лпвп,92.31,🟠 Частичное совпадение,5,0,0
221,ХС ЛПВП_2,ХС ПВП,лпвп,92.31,🟠 Частичное совпадение,5,0,0
222,ХС ЛПВП_3,ХС Л ПВП,лпвп,93.33,🟠 Частичное совпадение,6,0,0
223,ХС ЛПВП_4,Х ЛПВП,лпвп,100.00,✔️ Полное совпадение,5,0,0
224,ХС ЛПВП_5,ХС ЛП ВП,лпвп,93.33,🟠 Частичное совпадение,6,0,0
225,ХС ЛПВП_6,ЛПВП ХС,лпвп,100.00,✔️ Полное совпадение,6,0,0
226,ХС ЛПВП_7,ХС  ЛПВП,лпвп,93.33,🟠 Частичное совпадение,6,0,0
227,Липопротеины высокой плотности_0,Липопротeины высокой Плотности,лпвп,100.00,✔️ Полное совпадение,27,1,0
228,Липопротеины высокой плотности_1,ЛипопротеинЫ высокой плотности,лпвп,100.00,✔️ Полное совпадение,28,0,0
229,Липопротеины высокой плотности_2,Липопротеины высокоЙ плотности,лпвп,100.00,✔️ Полное совпадение,28,0,0
230,Липопротеины высокой плотности_3,Липопротины высокой плотности,лпвп,98.31,🟠 Частичное совпадение,27,0,0
231,Липопротеины высокой плотности_4,ипопротеины высокой плотности,лпвп,98.31,🟠 Частичное совпадение,27,0,0
232,Липопротеины высокой плотности_5,попротеины высокой плoтности,лпвп,96.55,🟠 Частичное совпадение,25,1,0
233,Липопротеины высокой плотности_7,Липопротеины высоко плотности,лпвп,98.31,🟠 Частичное совпадение,27,0,0
234,HDL_1,hDL,лпвп,100.00,✔️ Полное совпадение,0,3,0
235,High-Density Lipoprotein_0,High-Density Lioproein,лпвп,95.65,🟠 Частичное совпадение,0,20,0
236,High-Density Lipoprotein_1,High-Density LipoproTein,лпвп,100.00,✔️ Полное совпадение,0,22,0
237,High-Density Lipoprotein_2,High-Dеnsity Lipopr otein,лпвп,97.96,🟠 Частичное совпадение,1,21,0
238,High-Density Lipoprotein_3,High-density  Lipoprotein,лпвп,97.96,🟠 Частичное совпадение,0,22,0
239,High-Density Lipoprotein_4,High-DensIty Lipoprotein,лпвп,100.00,✔️ Полное совпадение,0,22,0
240,High-Density Lipoprotein_5,igh-Density Lipoprotein,лпвп,97.87,🟠 Частичное совпадение,0,21,0
241,High-Density Lipoprotein_6,High-De nsity LIpoprotein,лпвп,97.96,🟠 Частичное совпадение,0,22,0
242,High-Density Lipoprotein_7,Hgh-Density Lipoprotein,лпвп,97.87,🟠 Частичное совпадение,0,21,0
243,Хороший холестерол_0,Хорошй холестерол,лпвп,97.14,🟠 Частичное совпадение,16,0,0
244,Хороший холестерол_1,Хороший холстерол,лпвп,97.14,🟠 Частичное совпадение,16,0,0
245,Хороший холестерол_2,Хороший холестеро,лпвп,97.14,🟠 Частичное совпадение,16,0,0
246,Хороший холестерол_3,Хороший холестЕрол,лпвп,100.00,✔️ Полное совпадение,17,0,0
247,Хороший холестерол_4,Х ороший холестер,лпвп,91.43,🟠 Частичное совпадение,15,0,0
248,Хороший холестерол_5,Хороий холестерол,лпвп,97.14,🟠 Частичное совпадение,16,0,0
249,Хороший холестерол_7,Хорош ий холестерол,лпвп,97.30,🟠 Частичное совпадение,17,0,0
250,Холестерин ЛПОНП_0,Холестер ин ЛПОНП,лпонп,96.97,🟠 Частичное совпадение,15,0,0
251,Холестерин ЛПОНП_1,ХолеСтерин ЛПОНП,лпонп,100.00,✔️ Полное совпадение,15,0,0
252,Холестерин ЛПОНП_2,олестерин ЛПОНП,лпонп,96.77,🟠 Частичное совпадение,14,0,0
253,Холестерин ЛПОНП_4,Холестерин ЛПОН,лпонп,96.77,🟠 Частичное совпадение,14,0,0
254,Холестерин ЛПОНП_5,Холес терин ЛПОНП,лпонп,96.97,🟠 Частичное совпадение,15,0,0
255,Холестерин ЛПОНП_6,ХолестеРн ЛПОНП,лпонп,96.77,🟠 Частичное совпадение,14,0,0
256,Холестерин ЛПОНП_7,лестрин ЛПОНП,лпонп,89.66,🟠 Частичное совпадение,12,0,0
257,Холестерин-ЛПОНП_0,Холестерин-ЛПО НП,лпонп,96.97,🟠 Частичное совпадение,15,0,0
258,Холестерин-ЛПОНП_1,Холестерин-ЛПНП,лпнп,100.00,❌ Неверное совпадение,14,0,0
259,Холестерин-ЛПОНП_3,Холестерин-ЛОНП,лпонп,96.77,🟠 Частичное совпадение,14,0,0
260,Холестерин-ЛПОНП_4,олестерин-ЛПОНП,лпонп,96.77,🟠 Частичное совпадение,14,0,0
261,Холестерин-ЛПОНП_5,Холестерин- ЛПОНП,лпонп,96.97,🟠 Частичное совпадение,15,0,0
262,Холестерин-ЛПОНП_6,Холестерин-ЛПОН,лпонп,96.77,🟠 Частичное совпадение,14,0,0
263,Холестерин-ЛПОНП_7,ХолестериН-ЛПОНП,лпонп,100.00,✔️ Полное совпадение,15,0,0
264,Х-ЛПОНП_0,Х-ЛПоНП,лпонп,100.00,✔️ Полное совпадение,6,0,0
265,Х-ЛПОНП_1,ЛПОНП,лпонп,83.33,🟠 Частичное совпадение,5,0,0
266,Х-ЛПОНП_3,ЛПОнП,лпонп,83.33,🟠 Частичное совпадение,5,0,0
267,Х-ЛПОНП_4,Х-ЛП ОНП,лпонп,93.33,🟠 Частичное совпадение,6,0,0
